,latitude,longitude,Data source,CO2/CO2e emissions source,CO2/CO2e emissions (in tonnes per year),CO2 or CO2e
337,0.3167,32.5833,Simplemaps,City,,
338,38.0863,46.3012,Simplemaps,City,,
339,52.08,4.27,Simplemaps,City,,
340,7.11,125.63,Simplemaps,City,,
341,43.29,5.375,Simplemaps,City,,
342,29.0004,77.7,Simplemaps,City,,
343,31.47,104.77,Simplemaps,City,,
344,-6.9666,110.42,Simplemaps,City,,
345,28.4333,77.3167,Simplemaps,City,,
346,55.03,82.96,Simplemaps,City,,
347,21.43,39.82,Simplemaps,City,,
348,25.23,55.28,Simplemaps,City,,
349,43.0642,-87.9673,Simplemaps,City,,
351,31.7304,118.48,Simplemaps,City,,
352,-4.2592,15.2847,Simplemaps,City,,
353,28.6004,112.33,Simplemaps,City,,
354,25.33,83.0,Simplemaps,City,,
355,-11.68,27.48,Simplemaps,City,,
356,31.6904,-106.49,Simplemaps,City,,
357,28.6604,77.4084,Simplemaps,City,,
358,-25.7069,28.2294,Simplemaps,City,,
359,35.23,115.45,Simplemaps,City,,
361,23.6833,86.9833,Simplemaps,City,,
362,-15.4166,28.2833,Simplemaps,City,,
363,31.78,119.97,Simplemaps,City,,
364,36.345,43.145,Simplemaps,City,,
365,56.85,60.6,Simplemaps,City,,
366,34.005,71.535,Simplemaps,City,,
367,21.97,96.085,Simplemaps,City,,
368,22.7875,86.1975,Simplemaps,City,,
369,-6.15,23.6,Simplemaps,City,,
370,9.92,78.12,Simplemaps,City,,
371,36.995,35.32,Simplemaps,City,,
372,53.3667,-1.5,Simplemaps,City,,
373,23.1751,79.9551,Simplemaps,City,,
374,9.935,-84.0841,Simplemaps,City,,
375,8.968,-79.533,Simplemaps,City,,
376,56.333,44.0001,Simplemaps,City,,
377,42.27,118.95,Simplemaps,City,,
378,51.43,6.75,Simplemaps,City,,
379,48.1299,11.575,Simplemaps,City,,
380,33.58,119.03,Simplemaps,City,,
382,-5.14,119.432,Simplemaps,City,,
383,22.31,70.8,Simplemaps,City,,
384,23.8004,86.42,Simplemaps,City,,
385,44.575,129.59,Simplemaps,City,,
386,46.21,6.14,Simplemaps,City,,
387,29.63,52.57,Simplemaps,City,,
388,30.8704,120.1,Simplemaps,City,,
389,34.6,105.92,Simplemaps,City,,
390,26.5944,104.8333,Simplemaps,City,,
391,51.2204,6.78,Simplemaps,City,,
392,21.9204,110.87,Simplemaps,City,,
393,37.405,-5.98,Simplemaps,City,,
394,31.64,74.87,Simplemaps,City,,
395,-20.3676,-40.318,Simplemaps,City,,
397,43.325,76.915,Simplemaps,City,,
398,41.823,-71.4187,Simplemaps,City,,
