,Country,Plant,Capacity (MW),Status,Status 2016 (done by Data4Good),Status 2017 (done by Data4Good),Status 2018 (done by Data4Good),Status 2019 (done by Data4Good),Combustion technology,Coal type,Latitude,Longitude,Annual CO2 (million tonnes / annum),Total annual CO2 (million tonnes / annum),Annual CO2 emissions (millions of tonnes) in 2016,Annual CO2 emissions (millions of tonnes) in 2017,Annual CO2 emissions (millions of tonnes) in 2018,Annual CO2 emissions (millions of tonnes) in 2019
6562,India,Amreli power station,660,Cancelled,Operating,Operating,Operating,Operating,Unknown,Unknown,21.602870000000003,71.21817,2.80473508,5.60947016,5.60947016,5.60947016,5.60947016,5.60947016
6564,India,Angul power station,600,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,21.12704,84.98055,2.578501364,5.157002728,5.157002728,5.157002728,5.157002728,5.157002728
6568,India,Angul Smelter power station,120,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,20.84903,85.19022,0.7477653959999999,7.1424487789999995,7.1424487789999995,7.1424487789999995,7.1424487789999995,7.1424487789999995
6580,India,Angul Steel power station,135,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,20.89247,84.99039,0.6961953679999999,4.17717221,4.17717221,4.17717221,4.17717221,4.17717221
6586,India,Ankulapatur power station,350,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,14.13834,79.99088,1.598829372,0.0,,,,
6588,India,Anpara power station,210,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,24.20204,82.78913,1.2881640090000002,8.941000435,8.941000435,8.941000435,8.941000435,8.941000435
6593,India,Anpara-C power station,600,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,24.203789999999998,82.79733,2.5382542040000002,5.0765084080000005,5.0765084080000005,5.0765084080000005,5.0765084080000005,5.0765084080000005
6595,India,Anpara-D power station,500,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,24.196260000000002,82.80634,2.115211837,4.230423674,4.230423674,4.230423674,4.230423674,4.230423674
6597,India,Anpara-E power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,26.19278,79.94028,2.740850353,0.0,,,,
6599,India,Anuppur power station (Newzone),1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,23.15299,81.83235,5.481700705,0.0,,,,
6600,India,Anuppur Thermal Power Project,600,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,23.073729999999998,81.78429,2.578501364,5.157002728,5.157002728,5.157002728,5.157002728,5.157002728
6604,India,Arasmeta Cement Plant power station,43,Operating,Operating,Operating,Operating,Operating,Subcritical,unknown,21.96629,82.34040999999999,0.240230377,0.461981494,0.461981494,0.461981494,0.461981494,0.461981494
6606,India,ARS Metals Gummidipoondi captive power station,60,Operating,Operating,Operating,Operating,Operating,CFB,Sub-bit,13.42389,80.06611,0.309420164,0.309420164,0.309420164,0.309420164,0.309420164,0.309420164
6609,India,Asansol Crescent power station,40,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,23.65,88.13,0.223470118,0.40224621299999996,0.40224621299999996,0.40224621299999996,0.40224621299999996,0.40224621299999996
6610,India,Asansol power station,270,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,23.68,86.99,1.392390737,0.0,,,,
6612,India,ASTARC power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,20.86378,79.27374,2.740850353,0.0,,,,
6614,India,Athena Chhattisgarh power station,600,Shelved,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,21.906760000000002,83.12899999999999,2.491682139,0.0,,,,
6616,India,Athiyakurichi power station,660,Shelved,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,8.43,78.02,2.740850353,0.0,,,,
6620,India,Auraiya IGCC power station,300,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,26.46401,79.50646,1.40236754,0.0,,,,
6622,India,Babandh power station,660,Shelved,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,20.82643,85.29648,2.740850353,0.0,,,,
6626,India,Badarpur power station,95,Retired,Operating,Operating,Not operating,Not operating,Subcritical,Bituminous,28.505390000000002,77.30741,0.582740861,4.324550601,4.324550601,4.324550601,,
6631,India,Bagheri Cement power station,30,Operating,Operating,Operating,Operating,Operating,Subcritical,unknown,30.9059,77.0925,0.167602589,0.167602589,0.167602589,0.167602589,0.167602589,0.167602589
6632,India,Bakreswar Thermal Power Station,210,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,23.82922,87.45103,1.263465668,6.0465856989999995,6.0465856989999995,6.0465856989999995,6.0465856989999995,6.0465856989999995
6637,India,Bakreswar Thermal Power Station,660,Shelved,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,23.8285,87.4513,2.740850353,0.0,,,,
6638,India,Balagarh power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,23.12622,88.45613,2.740850353,0.0,,,,
6641,India,Balaji Cement power station,35,Operating,Operating,Operating,Operating,Operating,Subcritical,unknown,16.28333,81.21667,0.195536353,0.195536353,0.195536353,0.195536353,0.195536353,0.195536353
6642,India,Balangir power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,20.22083,83.19167,2.740850353,0.0,,,,
6644,India,BALCO Korba power station,68,Operating,Operating,Operating,Operating,Operating,Subcritical,unknown,22.39309,82.74394000000001,0.423733724,1.6949348969999998,1.6949348969999998,1.6949348969999998,1.6949348969999998,1.6949348969999998
6648,India,BALCO Korba power station,135,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,22.3978,82.74016,0.742439355,2.9697574189999996,2.9697574189999996,2.9697574189999996,2.9697574189999996,2.9697574189999996
6652,India,BALCO Korba power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,22.399,82.74001,1.396039812,5.584159248,5.584159248,5.584159248,5.584159248,5.584159248
6656,India,Ballarpur Bilt Power power station,40,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,20.46,79.8,0.223470118,0.9110704820000001,0.9110704820000001,0.9110704820000001,0.9110704820000001,0.9110704820000001
6657,India,Balpur power station,1 200,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,22.04539,82.64789,5.099518326,0.0,,,,
6658,India,Banas Thermal Power project (Anuppur),660,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,23.10294,81.6981,2.80473508,0.0,,,,
6660,India,Bandel Thermal Power Station,60,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,22.99575,88.40382,0.36804686,2.7603514469999997,2.7603514469999997,2.7603514469999997,2.7603514469999997,2.7603514469999997
6665,India,Bander power station,660,Operating,Operating,Operating,Operating,Operating,Supercritical,unknown,14.3512,80.14309,2.740850353,8.222551059,8.222551059,8.222551059,8.222551059,8.222551059
6668,India,Banka Power Project,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,24.71405,86.95833,2.740850353,0.0,,,,
6672,India,Bansagar power station,800,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,24.0234,81.3743,3.322242852,0.0,,,,
6674,India,Banswara Thermal Power Station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,23.54054,74.44225,2.740850353,0.0,,,,
6676,India,Bara Thermal Power Project,660,Operating,Operating,Operating,Operating,Operating,Supercritical,Unknown,25.19635,81.65853,2.740850353,5.481700706,5.481700706,5.481700706,5.481700706,5.481700706
6680,India,Barabanki power station,250,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,26.92,81.2,1.289250682,0.0,,,,
6681,India,Baradarha power station,600,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,21.91144,83.18885999999999,2.578501364,5.157002728,5.157002728,5.157002728,5.157002728,5.157002728
6683,India,Baragaon power station,1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,20.33207,82.69203,5.609470159,0.0,,,,
6684,India,Baranda power station,900,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,23.19219,85.70885,3.824638745,3.867752046,,,,
6685,India,Barauni Thermal Power Station,50,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,25.391379999999998,86.02349,0.306705716,1.3495051519999999,,,,
6691,India,Barbil Jagannath power station,30,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,21.633000000000003,85.6,0.154710082,0.154710082,0.154710082,0.154710082,0.154710082,0.154710082
6692,India,Barethi Super Thermal Power Project,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,24.78333,79.9,2.740850353,0.0,,,,
6696,India,Bargarh Cement Plant power station,30,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,21.333000000000002,83.616,0.167602589,0.167602589,0.167602589,0.167602589,0.167602589,0.167602589
6697,India,Bargarh power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,25.135939999999998,81.44471999999999,2.740850353,0.0,,,,
6700,India,Barh I power station,660,Construction,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,25.4693,85.74516,2.740850353,0.0,,,,
6701,India,Barh I power station,660,Construction,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,25.4865,85.74516,2.740850353,5.481700706,,,,
6705,India,Barkhera Ipp power station,45,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,28.55,80.1,0.232065123,0.464130246,0.464130246,0.464130246,0.464130246,0.464130246
6707,India,Barsingsar Thermal Power Project,125,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,27.84502,73.19943,0.7339516759999999,1.411445531,1.411445531,1.411445531,1.411445531,1.411445531
6710,India,Basundhara power station,800,Announced,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,22.116670000000003,84.03333,3.322242852,0.0,,,,
6712,India,Bela Cement Plant power station,39,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,24.53,81.29,0.217883365,0.217883365,0.217883365,0.217883365,0.217883365,0.217883365
6713,India,Bela power station (Mantri Power),540,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,20.80639,79.05194,2.294783247,0.0,,,,
6714,India,Bela power station,270,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,20.80915,79.05489,1.392390737,1.392390737,1.392390737,1.392390737,1.392390737,1.392390737
6716,India,Bellary Thermal Power Station,500,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,15.19317,76.7195,2.36362625,7.419339882,7.419339882,7.419339882,7.419339882,7.419339882
6719,India,Bhadradri power station,270,Construction,Not operating,Not operating,Not operating,Not operating,Subcritical,unknown,18.02749,80.73565,1.392390737,0.0,,,,
6723,India,Bhadravati power station (Ispat),2 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,20.11005,79.12100000000001,8.595004547,0.0,,,,
6726,India,Bhadreshwar Thermal Power Project (Adani),660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,22.90941,69.89994,2.740850353,0.0,,,,
6731,India,Bhadreshwar power station (OPG),150,Operating,Operating,Operating,Operating,Operating,Subcritical,Lignite,22.896179999999998,69.89626,0.8129926259999999,1.625985251,1.625985251,1.625985251,1.625985251,1.625985251
6733,India,Bhagalpur Power Project,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,25.26354,87.23444,2.740850353,4.249598605,,,,
6736,India,Bhaiso power station,600,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,21.878410000000002,82.45164,2.549759163,0.0,,,,
6738,India,Bhaiyathan Thermal Power Project,1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,23.3438,83.19604,5.609470159,0.0,,,,
6739,India,Bhandara power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,21.27184,79.68823,2.740850353,0.0,,,,
6743,India,Bhandewadi power station,500,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,20.00994,79.19577,2.148751137,0.0,,,,
6744,India,Bhandhakhar power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,unknown,22.34095,82.4306,1.41817575,1.41817575,1.41817575,1.41817575,1.41817575,1.41817575
6745,India,Bhapur power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,20.28555,85.29476,2.740850353,0.0,,,,
6747,India,Bhatvadia power station,1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,22.467,70.067,5.481700705,0.0,,,,
6751,India,Bhavanapadu Thermal Power Project,660,Shelved,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,18.52139,84.23931,2.740850353,0.0,,,,
6755,India,Bhavnagar power station,250,Operating,Operating,Operating,Operating,Operating,CFB,Lignite,21.58315,72.22218000000001,1.35498771,1.35498771,1.35498771,1.35498771,1.35498771,1.35498771
6757,India,Bhawnathpur power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,24.17,83.81,2.80473508,0.0,,,,
6759,India,Bhengari power station,540,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,22.14167,83.24389000000001,2.294783247,0.0,,,,
6760,India,Bherai power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,20.97176,71.483,2.836351501,0.0,,,,
6762,India,Bhigwan Mill power station,30,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,18.53,73.84,0.167602589,0.34809768399999996,0.34809768399999996,0.34809768399999996,0.34809768399999996,0.34809768399999996
6763,India,Bhilai Steel power station,30,Operating,Operating,Operating,Operating,Operating,Subcritical,unknown,21.184,81.4237,0.18694134899999998,3.1672591760000004,3.1672591760000004,3.1672591760000004,3.1672591760000004,3.1672591760000004
6771,India,Bhognipur power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,26.19417,79.9075,2.740850353,0.0,,,,
6773,India,Bhubaneshwar Jasper power station,68,Permitted,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,20.4794,85.74492,0.34676724600000003,0.0,,,,
6775,India,Bhuj Cement Plant power station,35,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,22.86,69.39,0.195536353,0.608096572,0.608096572,0.608096572,0.608096572,0.608096572
6776,India,Bhusar power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,23.73,84.47,2.740850353,0.0,,,,
6777,India,Bhusawal Thermal Power Station,55,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,21.049789999999998,75.84769,0.33737628799999997,2.5763280180000003,,,,
6780,India,Bhusawal Thermal Power Station,500,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,21.0483,75.8425,2.115211837,4.230423674,4.230423674,4.230423674,4.230423674,4.230423674
6783,India,Bhushan Steel West Bengal project,1 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,22.98676,87.85498,4.249598605,0.0,,,,
6784,India,Bijor power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,25.43,79.71,2.740850353,0.0,,,,
6787,India,Bijora power station,300,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,19.70712,77.73758000000001,1.41817575,0.0,,,,
6790,India,Bilhaur Super Thermal Power Plant,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Bituminous,26.76339,80.05806,2.69806913,0.0,,,,
6792,India,Bina Thermal Power Project,250,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,24.317220000000002,78.13356,1.289250682,2.578501364,2.578501364,2.578501364,2.578501364,2.578501364
6795,India,Binjkote power station,300,Operating,Not operating,Operating,Operating,Operating,Subcritical,unknown,22.01042,83.20578,1.41817575,0.0,,0.0,0.0,0.0
6799,India,Birla Jamnagar power station,1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,22.57809,70.27736,5.609470159,0.0,,,,
6800,India,Birra Thermal Power Project,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,21.75647,82.78296,2.740850353,0.0,,,,
6802,India,Bithnok Thermal Power Project,250,Shelved,Not operating,Not operating,Not operating,Not operating,Subcritical,Lignite,27.84985,72.71728,1.35498771,0.0,,,,
6803,India,BLA Chhattisgarh power station,540,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,22.17272,83.3534,2.294783247,0.0,,,,
6804,India,Bokaro A Thermal Power Station,500,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,23.78294,85.88339,2.115211837,5.935284415,5.935284415,5.935284415,5.935284415,5.935284415
6808,India,Bokaro Steel City Thermal Power Station,500,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,23.68587,86.09294,2.115211837,1.925925644,,,,
6815,India,Bongaigaon power station,250,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,26.444370000000003,90.36721,1.2691271020000001,1.2691271020000001,1.2691271020000001,1.2691271020000001,1.2691271020000001,1.2691271020000001
6819,India,Borgolai power station,250,Cancelled,Not operating,Not operating,Not operating,Not operating,CFB,unknown,27.30315,95.44264,1.289250682,0.0,,,,
6820,India,Budele power station,1 000,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,14.67071,77.59074,4.249598605,0.0,,,,
6821,India,Budge Budge Generating Station,250,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,22.47034,88.13995,1.5041257959999998,4.404939831,4.404939831,4.404939831,4.404939831,4.404939831
6824,India,Bunji Bundeli Thermal Power Project,500,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,23.652070000000002,82.04819,2.124799303,0.0,,,,
6825,India,Burdwan power station,250,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,23.58429,87.11695,1.274879582,0.195536353,,,,
6827,India,Butibori power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,20.92859,78.93328000000001,1.41817575,2.8363515,2.8363515,2.8363515,2.8363515,2.8363515
6830,India,Buxar Thermal Power Station,660,Permitted,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,25.47334,83.87933000000001,2.740850353,0.0,,,,
6832,India,Srirampur Coal-to-Liquids Project,1 080,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,20.846410000000002,86.3429,4.589566494,0.0,,,,
6833,India,Casecade Power Lakhisarai power station,1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,24.75,85.0,5.609470159,0.0,,,,
6834,India,Cauvery Power Gummidipoondi captive power station,63,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,13.423179999999999,80.06631999999999,0.324891172,0.324891172,0.324891172,0.324891172,0.324891172,0.324891172
6838,India,Chakabura power station,30,Operating,Operating,Operating,Operating,Operating,Subcritical,WSTBituminous,22.39365,82.55325,0.164986523,0.317281776,0.317281776,0.317281776,0.317281776,0.317281776
6840,India,Chamalapura power station,500,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,12.19,76.45,2.124799303,0.0,,,,
6842,India,Champa Adhunik power station,1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,22.03,82.97,5.481700705,0.0,,,,
6843,India,Champa Power Project,600,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,22.270039999999998,82.6141,2.549759163,0.0,,,,
6845,India,Chanderiya Smelter power station,77,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,24.96322,74.66853,0.43017997799999996,1.307300192,1.307300192,1.307300192,1.307300192,1.307300192
6848,India,Chandil Singh power station,1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,22.48,86.72,5.481700705,0.0,,,,
6849,India,Chandrapur Thermal Power Station,210,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,20.0063,79.29,1.2881640090000002,14.421514300000002,,,,
6859,India,Chandrapura power station,130,Retired,Operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,23.74126,86.12021,0.797434863,7.13883995,7.13883995,,,
6867,India,Chandwa Power Project,270,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,23.73951,84.78186,1.392390737,0.0,,,,
6873,India,Chapariya power station,1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,24.49,86.7,5.609470159,0.0,,,,
6874,India,Chennai power station,77,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,13.437420000000001,80.09788,0.42346541,2.134248744,2.134248744,2.134248744,2.134248744,2.134248744
6880,India,Cheyyur Ultra Mega Power Project,4 000,Announced,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,12.3125,79.9825,16.61121426,0.0,,,,
6881,India,Chhabra Thermal Power Station,250,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,24.62092,77.03544000000001,1.3966882390000002,5.371877842000001,5.371877842000001,5.371877842000001,5.371877842000001,5.371877842000001
6885,India,Chhabra Thermal Power Station,660,Operating,Not operating,Operating,Operating,Operating,Supercritical,Sub-bit,24.63433,77.0385,2.740850353,0.0,,0.0,0.0,0.0
6887,India,Chhindwara JSW power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,22.05955,78.93863,2.740850353,0.0,,,,
6889,India,Chichro Patsimal power station,2 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,23.69135,85.27225,8.499197211,0.0,,,,
6890,India,Chitrangi Power Project,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,24.3648,82.6469,2.740850353,0.0,,,,
6896,India,Choudwar power station,54,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,20.5353,85.91072,0.331242174,1.43665188,1.43665188,1.43665188,1.43665188,1.43665188
6901,India,Chunar Cement power station,35,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,25.09088,82.89734,0.195536353,0.195536353,0.195536353,0.195536353,0.195536353,0.195536353
6902,India,Churk captive power station,60,Operating,Operating,Operating,Operating,Operating,Unknown,Unknown,24.6391,83.10108000000001,0.3059711,0.3059711,0.3059711,0.3059711,0.3059711,0.3059711
6906,India,Coastal Maharashtra Project,1 600,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,18.75,72.9583,6.644485703,0.0,,,,
6908,India,Cossipore power station,30,Retired,Not operating,Not operating,Not operating,Not operating,Subcritical,Bituminous,22.62441,88.36865999999999,0.18402343,0.0,,,,
6912,India,Cuddalore IL&FS power station,600,Operating,Operating,Operating,Operating,Operating,Supercritical,Bituminous,11.52161,79.75184,2.4527901180000002,4.9055802360000005,4.9055802360000005,4.9055802360000005,4.9055802360000005,4.9055802360000005
6917,India,Cuddalore power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Bituminous,11.65,79.75,2.69806913,0.0,,,,
6919,India,Cuddalore SRM power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,11.522219999999999,79.66944000000001,2.740850353,0.0,,,,
6922,India,Cuttack KVK Nilachal power station,350,Shelved,Not operating,Not operating,Not operating,Not operating,Subcritical,Unknown,20.5871,85.74265,1.654538375,0.0,,,,
6925,India,Cuttack power station (VISA Power),1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,20.515060000000002,85.76726,5.481700705,0.481320255,,,,
6928,India,Dabaura power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,25.115560000000002,81.30389,2.740850353,0.0,,,,
6934,India,Dada Dhuniwale Thermal Power Project,800,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,21.82501,76.34638000000001,3.322242852,0.0,,,,
6936,India,Dahanu power station,250,Operating,Operating,Operating,Operating,Operating,Subcritical,Sub-bit,19.95348,72.74869,1.5041257959999998,3.0082515919999997,3.0082515919999997,3.0082515919999997,3.0082515919999997,3.0082515919999997
6938,India,Dahanu Power Station,1 200,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Sub-bit,19.9545,72.7478,5.099518326,0.0,,,,
6939,India,Dahej Thermal Power Project,800,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,21.697470000000003,72.59251,3.322242852,0.464130245,,,,
6943,India,Danapuram BMM power station,95,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,15.170329999999998,76.37908,0.489915259,1.211895641,1.211895641,1.211895641,1.211895641,1.211895641
6945,India,Danbhum power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,23.78,86.72,2.80473508,0.0,,,,
6947,India,Darlipalli Super Thermal Power Station,800,Operating,Not operating,Not operating,Not operating,Operating,Supercritical,Unknown,21.96355,83.89187,3.322242852,0.0,,,,0.0
6949,India,Deenbandhu Chhotu Ram power station,300,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,30.10752,77.32676,1.547100818,3.094201636,3.094201636,3.094201636,3.094201636,3.094201636
6951,India,Deenbandhu Chhotu Ram Thermal Power Plant,800,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,30.10541,77.32696999999999,3.322242852,0.0,,,,
6952,India,Deoghar Ultra Mega Power Project,4 000,Shelved,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,24.36,86.59778,16.61121426,0.0,,,,
6953,India,Devaldi power station,500,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,21.83,76.34,2.124799303,0.0,,,,
6955,India,Devarampadu power station,1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,unknown,15.5,80.05,5.481700705,0.0,,,,
6956,India,Devgad UMPP,4 000,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,16.3735,73.3778,16.99839442,0.0,,,,
6957,India,Dhakore power station,1 050,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,15.766639999999999,73.70004,4.462078536,0.0,,,,
6958,India,Dhanras power station,350,Cancelled,Not operating,Not operating,Not operating,Not operating,Subcritical,unknown,22.5,82.55,1.654538375,0.0,,,,
6961,India,Dhardai power station,1 200,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,21.87894,82.45161,5.099518326,0.0,,,,
6962,India,Dhariwal power station,600,Operating,Operating,Operating,Operating,Operating,Subcritical,Unknown,20.01059,79.20343000000001,2.578501364,5.157002728,5.157002728,5.157002728,5.157002728,5.157002728
6964,India,Dharmavaram power station,150,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,14.41375,77.71262,0.764927749,0.0,,,,
6965,India,Dholera Power Plant,800,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,22.248,72.195,3.322242852,0.0,,,,
6967,India,Dhopave coal plant (NTPC),1 600,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,17.55829,73.19269,6.799357768999999,0.0,,,,
6972,India,Dhuvaran power station,110,Operating,Operating,Operating,Operating,Operating,Subcritical,Bituminous,22.23301,72.75724,0.6747525759999999,1.3495051519999999,1.3495051519999999,1.3495051519999999,1.3495051519999999,1.3495051519999999
6976,India,Dolvi captive power station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Unknown,Unknown,18.5304,72.92038000000001,2.80473508,0.0,,,,
6977,India,Dona power station,1 320,Cancelled,Not operating,Not operating,Not operating,Not operating,unknown,unknown,24.83,85.42,5.609470159,0.0,,,,
6978,India,Dondaicha Thermal Power Station,660,Cancelled,Not operating,Not operating,Not operating,Not operating,Supercritical,Unknown,21.274720000000002,74.60694000000001,2.740850353,0.0,,,,
